Time [ms],PL [hPa],TL [C],PC [hPa],TC [C],PR [hPa],TR [C],EX [deg],EY [deg],EZ [deg],QW [-],QX [-],QY [-],QZ [-],MX [microT],MY [microT],MZ [microT],AX [m/s2],AY [m/s2],AZ [m/s2],RX [rad/s],RY [rad/s],RZ [rad/s],CSM,CSA,CSR,CSTOT
0,1415.8,26.75,1415.3,27.1,1417.7,27.04,113.38,-37.938,162.19,0.073059,0.78186,0.51379,-0.34558,28.25,-37.75,-113.25,-5.98,-3.02,-7.89,-0.025556,-0.0068056,-0.0044444,0,0,0,0
0.01,1411.2,26.75,1412.1,27.1,1415.2,27.04,113.38,-37.875,162.19,0.072754,0.78198,0.51392,-0.34521,28.25,-37.375,-113.25,-5.71,-1.97,-8.11,-0.0077778,-0.024167,-0.024444,0,0,0,0
0.02,1418.5,26.75,1415.8,27.1,1415.8,27.04,113.38,-37.938,162.19,0.07312,0.78192,0.51379,-0.34534,28.25,-37.375,-113.25,-5.45,-1.51,-7.64,-0.032222,0.015556,0.026667,0,0,0,0
0.03,1416,26.75,1414.3,27.1,1418.8,27.04,113.38,-38,162.19,0.073364,0.7818,0.51361,-0.34589,28.25,-37.375,-113.25,-6.01,-4.53,-6.97,0.024444,0.0325,0.033333,0,0,0,0
0.04,1413.8,26.75,1412.6,27.1,1416.6,27.04,113.38,-38.063,162.19,0.073975,0.78174,0.51331,-0.34631,28.25,-37.375,-113.25,-6.26,-2.89,-6.53,-0.03,0.034722,0.074444,0,0,0,0
0.05,1415.4,26.75,1412.9,27.1,1417.4,27.04,113.44,-38.188,162.25,0.074463,0.78168,0.51306,-0.34668,28.25,-37.375,-113.25,-6.28,-2.76,-7.33,-0.024444,0.12444,0.075556,0,0,0,0
0.06,1420.1,26.75,1417.5,27.1,1419.9,27.04,113.44,-38.188,162.25,0.074768,0.78168,0.51288,-0.34692,27.188,-37,-113.25,-6.15,-4.23,-7.87,-0.014444,0.077778,0.044444,0,0,0,0
0.07,1417.4,26.75,1423.8,27.1,1424.6,27.04,113.44,-38.25,162.31,0.074951,0.7818,0.51276,-0.3468,27.188,-37,-113.25,-6.16,-0.08,-8.25,-0.026667,0.04,0.048889,0,0,0,0
0.08,1420.3,26.75,1415.3,27.1,1421.2,27.04,113.44,-38.188,162.25,0.074646,0.78192,0.5127,-0.3468,27.188,-37,-113.25,-6.44,-0.57,-7.23,0.046667,0.0045833,0.0022222,0,0,0,0
0.09,1419,26.75,1415.5,27.1,1420,27.04,113.5,-38.125,162.31,0.074463,0.78204,0.5127,-0.34644,27.188,-37,-113.25,-6.3,-2.48,-6.7,0.0022222,0.0036806,0.0044444,0,0,0,0
0.1,1419,26.75,1419.4,27.1,1419.7,27.04,113.44,-38.063,162.25,0.073975,0.7821,0.51282,-0.34613,27.188,-37,-113.25,-5.71,-1.91,-6.62,0.04,-0.10778,-0.038889,0,0,0,0
0.11,1420.1,26.75,1417,27.1,1424.1,27.04,113.44,-38.063,162.25,0.073792,0.78217,0.51294,-0.34595,27.875,-37.375,-112.5,-5.71,-0.65,-7.24,0.0055556,-0.016667,-0.031111,0,0,0,0
0.12,1420.4,26.75,1419,27.1,1418.7,27.04,113.44,-38,162.25,0.073486,0.78217,0.51306,-0.34595,27.875,-37.375,-112.5,-5.64,-3.64,-6.81,0.031111,-0.015278,-0.03,0,0,0,0
0.13,1424,26.75,1423,27.1,1422.2,27.04,113.44,-38,162.25,0.073425,0.78223,0.51306,-0.34576,27.875,-37.375,-112.5,-6.29,-0.81,-7.51,-0.0022222,-0.024444,-0.01,0,0,0,0
0.14,1418.5,26.75,1419.7,27.1,1423.3,27.04,113.44,-38,162.25,0.073303,0.78223,0.513,-0.34576,27.875,-37.375,-112.5,-6.32,-3.7,-6.78,0.022222,-0.022222,-0.01,0,0,0,0
0.15,1423.1,26.75,1423.8,27.1,1425.9,27.04,113.44,-38.063,162.19,0.073364,0.7821,0.51294,-0.34613,27.875,-37.375,-112.5,-5.9,-3.97,-6.81,0.033333,-0.0012326,-0.0011111,0,0,0,0
0.16,1423.1,26.75,1422.5,27.1,1423.3,27.04,113.44,-38.125,162.19,0.073792,0.78198,0.5127,-0.34668,27.563,-37,-111.75,-5.72,-2.74,-6.67,0.012222,0.038333,0.043333,0,0,0,0
0.17,1426.7,26.75,1427.3,27.1,1424.8,27.04,113.5,-38.188,162.13,0.074036,0.7818,0.51245,-0.34735,27.563,-37,-111.75,-6.18,-2.63,-6.98,0.048889,0.038056,0.033333,0,0,0,0
0.18,1425.3,26.75,1426.3,27.1,1426.6,27.04,113.5,-38.25,162.19,0.07428,0.78186,0.51221,-0.34735,27.563,-37,-111.75,-6.5,-1.07,-7.34,0.0011111,0.065556,0.057778,0,0,0,0
0.19,1419.4,26.75,1419,27.1,1424.5,27.04,113.5,-38.25,162.19,0.074158,0.78192,0.51221,-0.34747,27.563,-37,-111.75,-6.28,-3.13,-6.96,0.013333,-0.00055556,-0.0011111,0,0,0,0
0.2,1427.3,26.75,1426.9,27.1,1425.7,27.04,113.5,-38.188,162.19,0.073914,0.7821,0.51227,-0.34705,27.563,-37,-111.75,-6.17,-1.21,-7.39,-0.013333,0.0072917,0.0055556,0,0,0,0
0.21,1426.2,26.75,1427.3,27.1,1427.1,27.04,113.5,-38.125,162.19,0.073608,0.78229,0.51233,-0.34656,27.875,-37.375,-113.25,-6.07,-2.71,-7,0.0033333,-0.030278,-0.013333,0,0,0,0
0.22,1422.5,26.75,1425.9,27.1,1427.5,27.04,113.5,-38.063,162.19,0.073486,0.78241,0.51239,-0.34656,27.875,-37.375,-113.25,-6.04,0.17,-7.47,-0.014444,-0.0011285,-0.0011111,0,0,0,0
0.23,1426.3,26.75,1427.7,27.1,1428.5,27.04,113.5,-38.063,162.19,0.073303,0.78247,0.51239,-0.34625,27.875,-37.375,-113.25,-6.15,-3.4,-7.28,0.0077778,-0.015,-0.018889,0,0,0,0
0.24,1427.5,26.75,1428.5,27.1,1430.7,27.04,113.5,-38,162.25,0.073181,0.78253,0.51251,-0.34589,27.875,-37.375,-113.25,-5.98,-1.77,-7.97,-0.01,-0.0027083,-0.0077778,0,0,0,0
0.25,1428.2,26.75,1428.5,27.1,1430.5,27.04,113.5,-38.063,162.19,0.073181,0.78247,0.51245,-0.34613,27.875,-37.375,-113.25,-5.77,-3.29,-7.48,0.027778,-0.0026389,-0.0055556,0,0,0,0
0.26,1426.6,26.75,1424.7,27.1,1427.9,27.04,113.5,-38.063,162.19,0.073181,0.78235,0.51233,-0.34656,27.188,-37,-113,-6.41,-1.52,-7.3,0.05,0.0051389,0.0055556,0,0,0,0
0.27,1433.3,26.75,1434.3,27.1,1432.3,27.04,113.56,-38.125,162.19,0.073486,0.78235,0.51215,-0.34656,27.188,-37,-113,-6.35,-0.87,-6.89,0.0066667,0.085556,0.048889,0,0,0,0
0.28,1429.9,26.75,1431.1,27.1,1432.7,27.04,113.56,-38.125,162.19,0.073547,0.78229,0.51215,-0.34686,27.188,-37,-113,-6.02,-1.27,-7.3,0.0088889,0.02,0.011111,0,0,0,0
0.29,1428.9,26.75,1433.3,27.1,1431.7,27.04,113.56,-38.125,162.19,0.073547,0.78241,0.51215,-0.34668,27.188,-37,-113,-6.21,-3.64,-7.79,-0.031111,-0.0030556,-0.0077778,0,0,0,0
0.3,1430.2,26.75,1431.9,27.1,1431.1,27.04,113.56,-38.063,162.19,0.073303,0.78247,0.51227,-0.34631,27.188,-37,-113,-6.13,-0.16,-7.72,-0.0022222,-0.024444,-0.024444,0,0,0,0
0.31,1432,26.75,1432.4,27.1,1432.3,27.04,113.56,-38.063,162.19,0.07312,0.78253,0.51233,-0.34613,27.188,-37.375,-113,-6.58,-2.94,-7.95,-0.0077778,-0.014167,-0.015556,0,0,0,0
0.32,1432.1,26.75,1434.1,27.1,1435.6,27.04,113.5,-38,162.19,0.072754,0.78253,0.51233,-0.34613,27.188,-37.375,-113,-6.29,-3.98,-7.4,0.031111,-0.062222,-0.046667,0,0,0,0
0.33,1431,26.75,1431.6,27.1,1432.7,27.04,113.5,-38,162.19,0.072754,0.78253,0.51257,-0.34595,27.188,-37.375,-113,-6.1,-1.91,-7.34,0.0044444,-0.0078125,-0.015556,0,0,0,0
0.34,1433,26.75,1434.4,27.1,1434.3,27.04,113.5,-38,162.13,0.072754,0.78241,0.51251,-0.34595,27.188,-37.375,-113,-6.1,-3.9,-7.3,0.028889,-0.015,-0.013333,0,0,0,0
0.35,1434.1,26.75,1434,27.1,1433.9,27.04,113.5,-38.063,162.13,0.072876,0.78223,0.51245,-0.34662,27.188,-37.375,-113,-6.06,-2.24,-7.53,0.02,0.0050694,0.0022222,0,0,0,0
0.36,1434,26.75,1434.2,27.1,1435.4,27.04,113.5,-38.125,162.13,0.073059,0.78217,0.51239,-0.34686,26.75,-36.25,-113.75,-6.07,-1.85,-7.6,0.0055556,0.018056,0.011111,0,0,0,0
0.37,1436.8,26.75,1436.9,27.1,1437.3,27.04,113.5,-38.125,162.06,0.073059,0.78217,0.51239,-0.34686,26.75,-36.25,-113.75,-6.46,-2.89,-7.68,0.031111,-0.0075,-0.0077778,0,0,0,0
0.38,1435.2,26.75,1440,27.1,1437.1,27.04,113.5,-38.125,162.06,0.073059,0.7821,0.51233,-0.34711,26.75,-36.25,-113.75,-6.3,-1.96,-7.2,0,0.00083333,0.0011111,0,0,0,0
0.39,1438.3,26.75,1439.7,27.1,1432.9,27.04,113.5,-38.125,162.06,0.072876,0.7821,0.51239,-0.34711,26.75,-36.25,-113.75,-6.1,-1.39,-6.98,0.011111,-0.026667,-0.015556,0,0,0,0
0.4,1438.3,26.75,1439.3,27.1,1439.8,27.04,113.5,-38.063,162.13,0.072693,0.78223,0.51251,-0.34662,26.75,-36.25,-113.75,-6.52,-2.75,-7.36,-0.015556,-0.022778,-0.018889,0,0,0,0
0.41,1436.4,26.75,1434.5,27.1,1441.4,27.04,113.5,-38,162.06,0.072571,0.78229,0.51263,-0.34644,26.75,-37.375,-114.06,-5.98,-1.86,-7.42,0.0033333,-0.0125,-0.02,0,0,0,0
0.42,1435.5,26.75,1432.5,27.1,1440.1,27.04,113.5,-38.063,162.13,0.072632,0.78223,0.51263,-0.34644,26.75,-37.375,-114.06,-6.01,-0.53,-7.52,-0.011111,0.0069444,0.0044444,0,0,0,0
0.43,1438.9,26.75,1437.2,27.1,1439.8,27.04,113.5,-38.063,162.06,0.072632,0.7821,0.51263,-0.34656,26.75,-37.375,-114.06,-6,-5.45,-7.26,0.025556,-0.01,-0.018889,0,0,0,0
0.44,1437,26.75,1434.6,27.1,1439,27.04,113.5,-38.063,162.06,0.072693,0.78204,0.51263,-0.34674,26.75,-37.375,-114.06,-6.1,-3.87,-6.98,0.013333,2.4555e-39,0,0,0,0,0
0.45,1439.1,26.75,1436.6,27.1,1439.3,27.04,113.5,-38.125,162.06,0.072693,0.78198,0.51257,-0.34711,26.75,-37.375,-114.06,-5.93,-2,-6.46,0.016667,0.0097222,0.0088889,0,0,0,0
0.46,1437.2,26.75,1437.8,27.1,1439.4,27.04,113.5,-38.125,162.06,0.072754,0.78192,0.51257,-0.34723,27.188,-37,-113,-6.14,-2.81,-7.01,-0.0077778,-0.031111,-0.012222,0,0,0,0
0.47,1440.9,26.75,1438.7,27.1,1438.1,27.04,113.5,-38.125,162.06,0.072754,0.78192,0.51257,-0.34723,27.188,-37,-113,-5.77,-2.23,-7.4,-0.0066667,0.0027778,0.0044444,0,0,0,0
0.48,1439.9,26.75,1440.3,27.1,1443.5,27.04,113.5,-38.063,162.06,0.072693,0.78192,0.51257,-0.34717,27.188,-37,-113,-5.77,-1.75,-7.5,-0.0066667,1.839e-38,0,0,0,0,0
0.49,1441.5,26.75,1444,27.1,1444.9,27.04,113.5,-38.063,162.06,0.072693,0.78198,0.51257,-0.34711,27.188,-37,-113,-6.02,-2.75,-7.22,-0.014444,0.0036111,0.0022222,0,0,0,0
0.5,1438.7,26.75,1440.9,27.1,1442.8,27.04,113.5,-38.063,162.06,0.072632,0.78204,0.51263,-0.34692,27.188,-37,-113,-5.79,-2.53,-6.82,0.0055556,-0.0052778,-0.0077778,0,0,0,0
0.51,1441.1,26.75,1440.7,27.1,1441.5,27.04,113.5,-38.063,162.06,0.072693,0.78204,0.51263,-0.34692,27.563,-37,-112.06,-5.86,-1.66,-7.03,-0.01,0.014444,0.015556,0,0,0,0
