Time [s],PL [mbar],TL [C],PC [mbar],TC [C],PR [mbar],TR [C],EX [deg],EY [deg],EZ [deg],QW [-],QX [-],QY [-],QZ [-],MX [microT],MY [microT],MZ [microT],AX [m/s2],AY [m/s2],AZ [m/s2],RX [rad/s],RY [rad/s],RZ [rad/s],CSM,CSA,CSR,CSTOT
125.85, 999.6, 27.47, 998.7, 26.70, 999.5, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34369, -0.44708, -18.250, 64.250, 22.062, 8.87, -3.40, 2.32, 0.0011111, 0.0044444, 0.0022222, 0, 0, 0, 0
125.86, 999.6, 27.47, 998.7, 26.70, 999.6, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34369, -0.44708, -18.250, 64.250, 22.062, 8.96, -3.50, 2.45, 0.0011111, 0.0044444, 0.0033333, 0, 0, 0, 0
125.87, 999.6, 27.47, 998.7, 26.70, 999.6, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34369, -0.44708, -18.250, 64.250, 22.062, 8.87, -3.46, 2.33, 0.0000000, 0.0066667, 0.0033333, 0, 0, 0, 0
125.88, 999.6, 27.47, 998.7, 26.70, 999.5, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34369, -0.44708, -18.562, 62.750, 22.875, 8.91, -3.68, 2.47, -0.0022222, 0.0000000, 0.0000000, 0, 0, 0, 0
125.89, 999.5, 27.47, 998.7, 26.70, 999.5, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34369, -0.44708, -18.562, 62.750, 22.875, 8.68, -3.44, 2.12, 0.0033333, -0.0022222, -0.0077778, 0, 0, 0, 0
125.90, 999.6, 27.47, 998.7, 26.70, 999.6, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34369, -0.44708, -18.562, 62.750, 22.875, 9.03, -3.33, 2.46, 0.0011111, 0.0044444, 0.0044444, 0, 0, 0, 0
125.91, 999.6, 27.47, 998.7, 26.70, 999.5, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34369, -0.44708, -18.562, 62.750, 22.875, 9.21, -3.48, 2.56, -0.0033333, 0.0022222, 0.0033333, 0, 0, 0, 0
125.92, 999.6, 27.47, 998.7, 26.70, 999.6, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34369, -0.44708, -18.250, 62.000, 23.250, 8.60, -3.52, 2.25, 0.0022222, -0.0022222, -0.0077778, 0, 0, 0, 0
125.94, 999.6, 27.47, 998.7, 26.70, 999.5, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34369, -0.44708, -18.250, 62.000, 23.250, 9.14, -3.30, 2.45, 0.0033333, -0.0025000, -0.0066667, 0, 0, 0, 0
125.94, 999.6, 27.47, 998.8, 26.70, 999.5, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34375, -0.44702, -18.250, 62.000, 23.250, 8.41, -3.51, 2.02, -0.0044444, 0.0111111, 0.0100000, 0, 0, 0, 0
125.95, 999.6, 27.47, 998.7, 26.70, 999.5, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5103149, -0.34375, -0.44702, -18.250, 62.000, 23.250, 8.64, -3.60, 2.21, -0.0033333, 0.0000000, 0.0000000, 0, 0, 0, 0
125.96, 999.5, 27.47, 998.7, 26.70, 999.6, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5102539, -0.34369, -0.44714, -18.250, 62.000, 23.250, 9.27, -3.42, 2.59, 0.0033333, -0.0155556, -0.0155556, 0, 0, 0, 0
125.98, 999.6, 27.47, 998.7, 26.70, 999.6, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5102539, -0.34369, -0.44714, -17.875, 63.062, 23.250, 9.00, -3.52, 2.43, -0.0011111, 0.0022222, 0.0022222, 0, 0, 0, 0
125.99, 999.6, 27.47, 998.8, 26.70, 999.6, 27.6, 69.06, 64.500, 55.62, 0.64929, -0.5102539, -0.34369, -0.44714, -17.875, 63.062, 23.250, 8.51, -3.81, 2.13, 0.0000000, 0.0077778, 0.0033333, 0, 0, 0, 0
126.00, 999.6, 27.47, 998.8, 26.70, 999.5, 27.6, 69.06, 64.500, 55.56, 0.64923, -0.5102539, -0.34375, -0.44714, -17.875, 63.062, 23.250, 9.13, -3.51, 2.36, 0.0055556, -0.0222222, -0.0144444, 0, 0, 0, 0
126.01, 999.7, 27.47, 998.7, 26.70, 999.6, 27.6, 69.06, 64.500, 55.56, 0.64923, -0.5102539, -0.34375, -0.44714, -17.875, 63.062, 23.250, 9.15, -3.25, 2.47, 0.0055556, -0.0266667, -0.0100000, 0, 0, 0, 0
126.02, 999.6, 27.47, 998.7, 26.70, 999.5, 27.6, 69.06, 64.500, 55.62, 0.64923, -0.5102539, -0.34381, -0.44714, -17.875, 63.062, 23.250, 8.69, -3.38, 2.20, 0.0000000, 0.0000000, 0.0000000, 0, 0, 0, 0
126.03, 999.6, 27.47, 998.7, 26.70, 999.6, 27.6, 69.06, 64.500, 55.56, 0.64923, -0.5102539, -0.34381, -0.44714, -18.250, 62.750, 22.062, 8.77, -3.47, 2.19, 0.0000000, -0.0088889, -0.0111111, 0, 0, 0, 0
126.04, 999.6, 27.47, 998.7, 26.70, 999.5, 27.6, 69.06, 64.500, 55.56, 0.64917, -0.5102539, -0.34387, -0.44720, -18.250, 62.750, 22.062, 9.06, -3.49, 2.43, 0.0011111, -0.0100000, -0.0122222, 0, 0, 0, 0
126.05, 999.6, 27.47, 998.8, 26.70, 999.5, 27.6, 69.06, 64.500, 55.56, 0.64917, -0.5102539, -0.34387, -0.44720, -18.250, 62.750, 22.062, 9.08, -3.40, 2.50, -0.0022222, -0.0044444, -0.0055556, 0, 0, 0, 0
126.06, 999.6, 27.47, 998.7, 26.70, 999.5, 27.6, 69.06, 64.500, 55.56, 0.64917, -0.5102539, -0.34387, -0.44720, -18.250, 62.750, 22.062, 8.96, -3.65, 2.35, -0.0011111, -0.0044444, -0.0055556, 0, 0, 0, 0
126.07, 999.6, 27.47, 998.7, 26.70, 999.5, 27.6, 69.12, 64.500, 55.56, 0.64917, -0.5101929, -0.34387, -0.44727, -18.250, 62.750, 22.062, 8.89, -3.41, 2.37, 0.0011111, -0.0311111, -0.0111111, 0, 0, 0, 0
