"File Name,",INJECTION,custom1,Nadir,Tailwater,custom2
C1160913114555.csv,151.52,347.97,125.85,203.19,36.6
Time [s],151.52,347.97,125.85,203.19,36.6
PL [mbar],1002.3,1000.3,999.6,1007.5,999.9
TL [C],27.33,22.64,27.47,25.75,27.13
PC [mbar],1005.2,1000.8,998.7,1007.8,999.8
TC [C],26.8,24.73,26.7,25.84,26.3
PR [mbar],1000.3,1000.5,999.5,1008.3,999.9
TR [C],27.6,22.6,27.6,26.2,26.9
EX [deg],65.88,90.19,69.06,252.69,279.94
EY [deg],69.062,-19.625,64.5,-32.125,37.375
EZ [deg],87.44,176.62,55.62,135.56,0.44
QW [-],0.59802,0.10059,0.64929,-0.27142,-0.72528
QX [-],-0.5664062,0.697937,-0.5103149,0.8792725,-0.2036133
QY [-],-0.41394,0.69495,-0.34369,0.17773,0.24792
QZ [-],-0.38757,-0.14069,-0.44708,-0.34882,-0.60913
MX [microT],-43.562,40.25,-18.25,38,-31.875
MY [microT],65.375,3.062,64.25,5.688,-0.188
MZ [microT],54.062,28.188,22.062,29.062,-46.75
AX [m/s2],-6.17,-3.62,8.87,-3.54,5.85
AY [m/s2],-14.1,-0.5,-3.4,-5.14,-0.02
AZ [m/s2],-2.71,-8.65,2.32,-4.95,7.74
RX [rad/s],-0.3088889,-0.0077778,0.0011111,1.3533334,-0.0177778
RY [rad/s],0.0127083,0.0005556,0.0044444,-0.1399306,0.02
RZ [rad/s],0.0166667,0.0011111,0.0022222,-0.2211111,0.0266667
CSM,0,0,0,0,0
CSA,0,0,0,0,0
CSR,0,0,0,0,0
CSTOT,0,0,0,0,0
